courier,commune.id,commune.name,traduccion
chilexpress,237,MARIQUINA,SAN JOSE DE LA MARIQUINA
chilexpress,414,PLAYA ANCHA,VALPARAISO
chilexpress,266,PUYEHUE,ENTRE LAGOS
chilexpress,451,BELLOTO,EL BELLOTO
chilexpress,443,ARTIFICIO,NOGALES
chilexpress,556,ISLA TEJA,VALDIVIA
chilexpress,669,PUEBLO SECO,SAN IGNACIO
chilexpress,364,BATUCO,LAMPA
chilexpress,519,EL MELON,NOGALES
chilexpress,383,ALTO JAHUEL,SAN BERNARDO
chilexpress,92,MOSTAZAL,SAN FRANCISCO DE MOSTAZAL
chilexpress,418,PLACILLA (VINA DEL MAR),PLACILLA QUINTA REGION
chilexpress,75,LLAILLAY,LLAY LLAY
chilexpress,423,EL CARMEN CHILLAN,EL CARMEN
chilexpress,639,NUEVA ALDEA,CHILLAN
chilexpress,357,OLIVAR ALTO,OLIVAR
chilexpress,405,AYSEN,PUERTO AYSEN
chilexpress,363,RENACA,VINA DEL MAR
chilexpress,407,LLOLLEO,SAN ANTONIO
chilexpress,386,CHICUREO,COLINA
chilexpress,521,EL PAICO,EL MONTE
chilexpress,380,NOS,SAN BERNARDO
chilexpress,714,ROSARIO,RENGO
chilexpress,489,CHOLGUAN,YUNGAY
chilexpress,375,LONQUEN,ISLA DE MAIPO
chilexpress,701,QUIRIQUINA,SAN IGNACIO
chilexpress,449,BARRANCAS,SAN ANTONIO
chilexpress,693,QUEPE,PADRE LAS CASAS
chilexpress,555,ISLA NEGRA,EL QUISCO
chilexpress,348,EL SALVADOR,DIEGO DE ALMAGRO
chilexpress,525,EL TABITO,EL TABO
chilexpress,377,MALLOCO,PADRE HURTADO
chilexpress,601,LONGOVILO,PALMILLA
chilexpress,653,PELEQUEN,MALLOA
chilexpress,624,MININCO,ANGOL
starken,237,MARIQUINA,SAN JOSE DE LA MARIQUINA
starken,531,ESTACION PAIPOTE,PAIPOTE
starken,198,TREGUACO,TREHUACO
starken,435,TIL TIL,TILTIL
starken,215,SAAVEDRA,PUERTO SAAVEDRA
starken,195,SAN FABIAN,SAN FABIAN DE ALICO
starken,295,SANTIAGO CENTRO,SANTIAGO
starken,364,BATUCO,BATUCO (RM)
starken,178,ALTO BIOBIO,ALTO BIO BIO
starken,92,MOSTAZAL,SAN FRANCISCO DE MOSTAZAL
starken,434,SAN VICENTE DE TAGUA TAGUA,SAN VICENTE DE TAGUATAGUA
starken,103,MARCHIGUE,MARCHIHUE
starken,185,EL CARMEN,EL CARMEN CHILLAN
starken,514,EL BELLOTO,BELLOTO
starken,93,OLIVAR,OLIVAR BAJO
starken,405,AYSEN,PUERTO AYSEN
starken,72,SANTO DOMINGO,ROCAS DE SANTO DOMINGO
starken,432,PALMILLA,PALMILLA SAN FERNANDO
starken,113,PLACILLA,PLACILLA (SAN FERNANDO)
starken,48,JUAN FERNANDEZ,ISLA JUAN FERNANDEZ
starken,184,CHILLAN VIEJO,CHILLAN
starken,764,FUERTE BAQUEDANO,BAQUEDANO
bluexpress,531,ESTACION PAIPOTE,PAIPOTE
bluexpress,590,LICANRAY,LICAN RAY
bluexpress,414,PLAYA ANCHA,VALPARAISO
bluexpress,366,CIUDAD DE LOS VALLES,PUDAHUEL
bluexpress,448,BAQUEDANO,SIERRA GORDA
bluexpress,198,TREGUACO,TREHUACO
bluexpress,468,CAPITAN PASTENE,CAPITAN
bluexpress,215,SAAVEDRA,PUERTO SAAVEDRA
bluexpress,195,SAN FABIAN,SAN FABIAN DE ALICO
bluexpress,429,OHIGGINS,VILLA OHIGGINS
bluexpress,451,BELLOTO,EL BELLOTO
bluexpress,568,LA PLACILLA (PUNITAQUI),LA PLACILLA
bluexpress,556,ISLA TEJA,VALDIVIA
bluexpress,534,GUADAL,PUERTO GUADAL
bluexpress,669,PUEBLO SECO,SAN IGNACIO
bluexpress,364,BATUCO,LAMPA
bluexpress,650,PARGUA,MAULLIN
bluexpress,392,EL MELOCOTON,SAN JOSE DE MAIPO
bluexpress,728,SECTOR LA PENA,LA PENA
bluexpress,354,SAN FRANCISCO DE MOSTAZAL,SAN FCO DE MOSTAZAL
bluexpress,383,ALTO JAHUEL,SAN BERNARDO
bluexpress,92,MOSTAZAL,SAN FCO DE MOSTAZAL
bluexpress,418,PLACILLA (VINA DEL MAR),VALPARAISO
bluexpress,434,SAN VICENTE DE TAGUA TAGUA,SAN VICENTE
bluexpress,103,MARCHIGUE,MARCHIHUE
bluexpress,529,ENTRE LAGOS,PUYEHUE
bluexpress,493,CODELCO RADOMIRO TOMIC,TOCOPILLA
bluexpress,639,NUEVA ALDEA,CHILLAN
bluexpress,93,OLIVAR,OLIVAR BAJO
bluexpress,277,PUERTO CISNES,CISNES
bluexpress,407,LLOLLEO,SAN ANTONIO
bluexpress,402,TONGOY,OVALLE
bluexpress,545,HUALPENCILLO,HUALPEN
bluexpress,412,CURAUMA,VALPARAISO
bluexpress,521,EL PAICO,EL MONTE
bluexpress,426,LAS CARDAS SUR,LAS CARDAS
bluexpress,48,JUAN FERNANDEZ,ISLA JUAN FERNANDEZ
bluexpress,380,NOS,SAN BERNARDO
bluexpress,662,PISCO ELQUI,PISCO
bluexpress,714,ROSARIO,RENGO
bluexpress,489,CHOLGUAN,YUNGAY
bluexpress,375,LONQUEN,ISLA DE MAIPO
bluexpress,701,QUIRIQUINA,SAN IGNACIO
bluexpress,693,QUEPE,PADRE LAS CASAS
bluexpress,555,ISLA NEGRA,EL QUISCO
bluexpress,348,EL SALVADOR,DIEGO DE ALMAGRO
bluexpress,525,EL TABITO,EL TABO
bluexpress,377,MALLOCO,PADRE HURTADO
bluexpress,601,LONGOVILO,PALMILLA
bluexpress,653,PELEQUEN,MALLOA
bluexpress,751,VEGAS DE ITATA,VEGAS
bluexpress,624,MININCO,ANGOL
bluexpress,764,FUERTE BAQUEDANO,POZO ALMONTE