company_id,folio_SII,duemint_reference,billing_month,billing_year
8,20542,3322317,12,2020
16,21344,3378010,12,2020
17,20543,3322318,12,2020
25,20591,3322366,12,2020
31,20544,3322319,12,2020
32,20545,3322320,12,2020
34,20546,3322321,12,2020
74,20547,3322322,12,2020
77,20548,3322323,12,2020
84,20549,3322324,12,2020
106,20550,3322325,12,2020
115,20541,3322316,12,2020
120,20551,3322326,12,2020
130,20552,3322327,12,2020
132,20553,3322328,12,2020
134,20554,3322329,12,2020
135,20672,3322447,12,2020
186,21108,3322893,12,2020
207,20555,3322330,12,2020
224,21101,3322886,12,2020
236,20556,3322331,12,2020
283,20557,3322332,12,2020
288,20558,3322333,12,2020
291,20559,3322334,12,2020
313,20560,3322335,12,2020
326,20561,3322336,12,2020
329,20680,3322455,12,2020
334,20562,3322337,12,2020
341,20563,3322338,12,2020
344,20564,3322339,12,2020
351,21384,3454854,12,2020
353,20565,3322340,12,2020
374,20569,3322344,12,2020
417,20566,3322341,12,2020
421,20567,3322342,12,2020
439,20568,3322343,12,2020
519,20570,3322345,12,2020
529,20571,3322346,12,2020
586,20572,3322347,12,2020
600,21345,3378011,12,2020
632,20573,3322348,12,2020
637,20574,3322349,12,2020
646,20575,3322350,12,2020
647,21346,3378012,12,2020
648,21258,3323043,12,2020
667,20576,3322351,12,2020
688,20577,3322352,12,2020
690,20578,3322353,12,2020
697,21269,3323054,12,2020
704,20580,3322355,12,2020
706,20581,3322356,12,2020
713,20582,3322357,12,2020
725,20583,3322358,12,2020
737,20584,3322359,12,2020
747,21347,3378013,12,2020
748,21348,3378014,12,2020
763,20585,3322360,12,2020
768,20586,3322361,12,2020
779,20587,3322362,12,2020
789,20588,3322363,12,2020
826,21349,3378015,12,2020
864,20589,3322364,12,2020
885,20590,3322365,12,2020
949,21387,3455562,12,2020
967,20592,3322367,12,2020
981,21312,3323099,12,2020
1006,20594,3322369,12,2020
1013,21368,3378034,12,2020
1032,21350,3378016,12,2020
1044,20595,3322370,12,2020
1047,20596,3322371,12,2020
1051,20597,3322372,12,2020
1077,21359,3378025,12,2020
1086,21369,3378035,12,2020
1122,20599,3322374,12,2020
1135,20600,3322375,12,2020
1146,20601,3322376,12,2020
1147,20602,3322377,12,2020
1149,20603,3322378,12,2020
1160,21351,3378017,12,2020
1171,20604,3322379,12,2020
1173,20605,3322380,12,2020
1187,20606,3322381,12,2020
1218,20607,3322382,12,2020
1221,21352,3378018,12,2020
1224,20608,3322383,12,2020
1252,20609,3322384,12,2020
1272,20610,3322385,12,2020
1284,21353,3378019,12,2020
1287,20611,3322386,12,2020
1295,20612,3322387,12,2020
1299,20613,3322388,12,2020
1311,20614,3322389,12,2020
1319,21354,3378020,12,2020
1327,20615,3322390,12,2020
1347,20616,3322391,12,2020
1366,20617,3322392,12,2020
1371,20618,3322393,12,2020
1372,20619,3322394,12,2020
1394,20620,3322395,12,2020
1418,20916,3322690,12,2020
1421,20621,3322396,12,2020
1424,20622,3322397,12,2020
1425,20623,3322398,12,2020
1428,20624,3322399,12,2020
1432,20625,3322400,12,2020
1436,20626,3322401,12,2020
1442,20627,3322402,12,2020
1445,20628,3322403,12,2020
1450,20629,3322404,12,2020
1455,21355,3378021,12,2020
1471,20630,3322405,12,2020
1474,20631,3322406,12,2020
1476,20632,3322407,12,2020
1480,20633,3322408,12,2020
1518,20634,3322409,12,2020
1523,21356,3378022,12,2020
1531,20635,3322410,12,2020
1542,20636,3322411,12,2020
1552,20637,3322412,12,2020
1554,20638,3322413,12,2020
1557,20639,3322414,12,2020
1576,20640,3322415,12,2020
1577,20641,3322416,12,2020
1580,20642,3322417,12,2020
1590,20643,3322418,12,2020
1612,20644,3322419,12,2020
1613,20645,3322420,12,2020
1614,20646,3322421,12,2020
1615,20647,3322422,12,2020
1616,20648,3322423,12,2020
1621,21357,3378023,12,2020
1624,21377,3425841,12,2020
1654,20649,3322424,12,2020
1658,20661,3322436,12,2020
1667,20650,3322425,12,2020
1671,20651,3322426,12,2020
1678,21373,3390340,12,2020
1684,21360,3378026,12,2020
1685,20652,3322427,12,2020
1699,20653,3322428,12,2020
1704,20654,3322429,12,2020
1713,20655,3322430,12,2020
1745,20656,3322431,12,2020
1754,20657,3322432,12,2020
1758,20658,3322433,12,2020
1772,20659,3322434,12,2020
1773,20660,3322435,12,2020
1793,21361,3378027,12,2020
1794,20662,3322437,12,2020
1799,20663,3322438,12,2020
1807,20664,3322439,12,2020
1811,20665,3322440,12,2020
1815,20666,3322441,12,2020
1816,20667,3322442,12,2020
1829,20668,3322443,12,2020
1832,20669,3322444,12,2020
1834,20670,3322445,12,2020
1839,21374,3403160,12,2020
1847,20671,3322446,12,2020
1882,20673,3322448,12,2020
1903,20674,3322449,12,2020
1906,20675,3322450,12,2020
1913,21192,3322977,12,2020
1914,20677,3322452,12,2020
1922,20678,3322453,12,2020
1928,20679,3322454,12,2020
1945,20681,3322456,12,2020
1950,20682,3322457,12,2020
1955,20683,3322458,12,2020
1958,20684,3322459,12,2020
1961,20685,3322460,12,2020
1964,20686,3322461,12,2020
1973,20687,3322462,12,2020
1990,20689,3322464,12,2020
1991,20830,3322605,12,2020
1998,21382,3434279,12,2020
1999,20691,3322466,12,2020
2010,20692,3322467,12,2020
2011,20693,3322468,12,2020
2016,20694,3322469,12,2020
2027,20695,3322470,12,2020
2051,21386,3455561,12,2020
2052,20696,3322471,12,2020
2057,20697,3322472,12,2020
2060,20698,3322473,12,2020
2064,20699,3322474,12,2020
2074,20700,3322475,12,2020
2076,20701,3322476,12,2020
2098,20702,3322477,12,2020
2114,21363,3378029,12,2020
2115,20703,3322478,12,2020
2123,20704,3322479,12,2020
2125,20705,3322480,12,2020
2129,20706,3322481,12,2020
2132,20707,3322482,12,2020
2135,20708,3322483,12,2020
2138,20709,3322484,12,2020
2143,21190,3322975,12,2020
2149,20710,3322485,12,2020
2153,20711,3322486,12,2020
2159,20712,3322487,12,2020
2163,21375,3404488,12,2020
2164,21379,3434276,12,2020
2168,20713,3322488,12,2020
2176,20714,3322489,12,2020
2182,20715,3322490,12,2020
2183,20716,3322491,12,2020
2184,20717,3322492,12,2020
2193,20718,3322493,12,2020
2197,20719,3322494,12,2020
2202,20720,3322495,12,2020
2205,20721,3322496,12,2020
2216,20722,3322497,12,2020
2223,20723,3322498,12,2020
2224,20724,3322499,12,2020
2226,20725,3322500,12,2020
2243,20726,3322501,12,2020
2244,20727,3322502,12,2020
2250,20728,3322503,12,2020
2263,20729,3322504,12,2020
2267,20730,3322505,12,2020
2278,20731,3322506,12,2020
2286,20732,3322507,12,2020
2297,20733,3322508,12,2020
2298,20734,3322509,12,2020
2305,20735,3322510,12,2020
2308,20736,3322511,12,2020
2309,21365,3378031,12,2020
2313,20737,3322512,12,2020
2314,20738,3322513,12,2020
2316,20739,3322514,12,2020
2320,20740,3322515,12,2020
2326,20741,3322516,12,2020
2333,20742,3322517,12,2020
2334,20743,3322518,12,2020
2343,20744,3322519,12,2020
2345,20745,3322520,12,2020
2346,20746,3322521,12,2020
2350,20747,3322522,12,2020
2355,20748,3322523,12,2020
2357,20749,3322524,12,2020
2363,20750,3322525,12,2020
2365,20751,3322526,12,2020
2376,20752,3322527,12,2020
2378,20753,3322528,12,2020
2381,20754,3322529,12,2020
2399,20755,3322530,12,2020
2401,20756,3322531,12,2020
2402,20757,3322532,12,2020
2408,20758,3322533,12,2020
2409,21366,3378032,12,2020
2416,21364,3378030,12,2020
2434,20759,3322534,12,2020
2438,20760,3322535,12,2020
2443,20761,3322536,12,2020
2445,20762,3322537,12,2020
2446,20763,3322538,12,2020
2455,20764,3322539,12,2020
2457,20766,3322541,12,2020
2463,20767,3322542,12,2020
2474,20768,3322543,12,2020
2477,20769,3322544,12,2020
2489,20770,3322545,12,2020
2490,20771,3322546,12,2020
2492,20772,3322547,12,2020
2493,20773,3322548,12,2020
2497,20774,3322549,12,2020
2504,20775,3322550,12,2020
2506,20776,3322551,12,2020
2515,20777,3322552,12,2020
2521,20778,3322553,12,2020
2525,20779,3322554,12,2020
2530,20780,3322555,12,2020
2540,20781,3322556,12,2020
2542,20782,3322557,12,2020
2543,20783,3322558,12,2020
2548,20784,3322559,12,2020
2557,20785,3322560,12,2020
2562,21376,3404489,12,2020
2571,20786,3322561,12,2020
2572,20787,3322562,12,2020
2583,20789,3322564,12,2020
2588,20790,3322565,12,2020
2598,20791,3322566,12,2020
2605,20792,3322567,12,2020
2610,20793,3322568,12,2020
2613,20794,3322569,12,2020
2622,20795,3322570,12,2020
2624,20796,3322571,12,2020
2628,20797,3322572,12,2020
2629,20798,3322573,12,2020
2632,20799,3322574,12,2020
2637,20800,3322575,12,2020
2653,20801,3322576,12,2020
2655,20802,3322577,12,2020
2663,20803,3322578,12,2020
2685,20806,3322581,12,2020
2687,20805,3322580,12,2020
2696,20807,3322582,12,2020
2703,20808,3322583,12,2020
2704,20809,3322584,12,2020
2723,20810,3322585,12,2020
2734,20811,3322586,12,2020
2742,20812,3322587,12,2020
2747,21027,3322819,12,2020
2764,20814,3322589,12,2020
2765,20815,3322590,12,2020
2787,20816,3322591,12,2020
2788,20817,3322592,12,2020
2806,20818,3322593,12,2020
2813,20819,3322594,12,2020
2815,20820,3322595,12,2020
2826,20821,3322596,12,2020
2832,20822,3322597,12,2020
2834,20823,3322598,12,2020
2840,20824,3322599,12,2020
2850,20825,3322600,12,2020
2851,20826,3322601,12,2020
2855,20827,3322602,12,2020
2860,20828,3322603,12,2020
2874,20829,3322604,12,2020
2880,20831,3322606,12,2020
2882,21385,3454855,12,2020
2887,20833,3322607,12,2020
2908,20834,3322608,12,2020
2910,20835,3322609,12,2020
2911,20836,3322610,12,2020
2916,20837,3322611,12,2020
2933,20838,3322612,12,2020
2944,20839,3322613,12,2020
2946,20840,3322614,12,2020
2950,20841,3322615,12,2020
2967,20842,3322616,12,2020
2973,21041,3322826,12,2020
2975,20843,3322617,12,2020
2986,20844,3322618,12,2020
2987,20845,3322619,12,2020
2990,20846,3322620,12,2020
2993,20847,3322621,12,2020
3003,20848,3322622,12,2020
3009,20849,3322623,12,2020
3011,20850,3322624,12,2020
3014,20851,3322625,12,2020
3019,20852,3322626,12,2020
3025,20853,3322627,12,2020
3027,20854,3322628,12,2020
3030,20855,3322629,12,2020
3034,20856,3322630,12,2020
3044,21381,3434278,12,2020
3048,20857,3322631,12,2020
3054,20858,3322632,12,2020
3055,20859,3322633,12,2020
3058,20860,3322634,12,2020
3064,20861,3322635,12,2020
3075,20862,3322636,12,2020
3081,20863,3322637,12,2020
3083,20864,3322638,12,2020
3084,20865,3322639,12,2020
3088,20866,3322640,12,2020
3093,20867,3322641,12,2020
3102,20868,3322642,12,2020
3107,20869,3322643,12,2020
3108,21367,3378033,12,2020
3111,20870,3322644,12,2020
3121,21318,3323105,12,2020
3126,20873,3322647,12,2020
3135,20874,3322648,12,2020
3137,20875,3322649,12,2020
3138,20876,3322650,12,2020
3142,20877,3322651,12,2020
3144,20878,3322652,12,2020
3145,20879,3322653,12,2020
3146,20880,3322654,12,2020
3149,20881,3322655,12,2020
3150,20882,3322656,12,2020
3152,20987,3322760,12,2020
3159,20884,3322658,12,2020
3161,20885,3322659,12,2020
3162,20886,3322660,12,2020
3176,20887,3322661,12,2020
3180,20888,3322662,12,2020
3182,20889,3322663,12,2020
3183,20890,3322664,12,2020
3186,20891,3322665,12,2020
3188,20892,3322666,12,2020
3189,20893,3322667,12,2020
3194,20894,3322668,12,2020
3199,20895,3322669,12,2020
3200,20896,3322670,12,2020
3203,20897,3322671,12,2020
3206,20898,3322672,12,2020
3209,20899,3322673,12,2020
3211,20900,3322674,12,2020
3214,20901,3322675,12,2020
3216,20902,3322676,12,2020
3217,20903,3322677,12,2020
3228,20904,3322678,12,2020
3230,20905,3322679,12,2020
3233,20906,3322680,12,2020
3236,20907,3322681,12,2020
3253,20908,3322682,12,2020
3254,20909,3322683,12,2020
3268,20910,3322684,12,2020
3272,21189,3322974,12,2020
3275,20911,3322685,12,2020
3277,20912,3322686,12,2020
3281,20913,3322687,12,2020
3282,20914,3322688,12,2020
3283,20915,3322689,12,2020
3297,20917,3322691,12,2020
3298,20918,3322692,12,2020
3299,20919,3322693,12,2020
3305,20920,3322694,12,2020
3325,20921,3322695,12,2020
3326,20922,3322696,12,2020
3327,20923,3322697,12,2020
3338,20924,3322698,12,2020
3339,20925,3322699,12,2020
3340,20926,3322700,12,2020
3344,20927,3322701,12,2020
3349,20928,3322702,12,2020
3350,20929,3322703,12,2020
3351,20930,3322704,12,2020
3360,20931,3322705,12,2020
3362,20932,3322706,12,2020
3373,20933,3322707,12,2020
3378,20934,3322708,12,2020
3387,20935,3322709,12,2020
3393,20936,3322710,12,2020
3404,20937,3322711,12,2020
3409,20938,3322712,12,2020
3412,20939,3322713,12,2020
3415,20940,3322714,12,2020
3422,20941,3322715,12,2020
3428,20942,3322716,12,2020
3430,20943,3322717,12,2020
3431,20944,3322718,12,2020
3434,20945,3322719,12,2020
3435,20946,3322720,12,2020
3436,20947,3322721,12,2020
3438,20948,3322722,12,2020
3440,20949,3322723,12,2020
3443,20950,3322724,12,2020
3444,20951,3322725,12,2020
3449,20952,3322726,12,2020
3456,20953,3322727,12,2020
3457,20954,3322728,12,2020
3459,20955,3322729,12,2020
3461,20956,3322730,12,2020
3463,20957,3322731,12,2020
3464,20958,3322732,12,2020
3472,21388,3461291,12,2020
3474,20959,3322733,12,2020
3479,20960,3322734,12,2020
3480,20961,3322735,12,2020
3483,20962,3322736,12,2020
3484,20963,3322737,12,2020
3489,20964,3322738,12,2020
3493,20965,3322739,12,2020
3499,20966,3322740,12,2020
3503,20967,3322741,12,2020
3504,20968,3322742,12,2020
3511,20969,3322743,12,2020
3513,20970,3322744,12,2020
3514,20971,3322745,12,2020
3516,20972,3322746,12,2020
3519,20973,3322747,12,2020
3524,20974,3322748,12,2020
3533,20975,3322749,12,2020
3539,20976,3322818,12,2020
3540,20977,3322750,12,2020
3541,20978,3322751,12,2020
3542,20979,3322752,12,2020
3543,20980,3322753,12,2020
3547,20981,3322754,12,2020
3548,20982,3322755,12,2020
3551,20983,3322756,12,2020
3563,20984,3322757,12,2020
3567,20985,3322758,12,2020
3570,20986,3322759,12,2020
3591,20989,3322761,12,2020
3592,20990,3322762,12,2020
3600,20991,3322763,12,2020
3602,20992,3322764,12,2020
3603,20993,3322765,12,2020
3612,20994,3322766,12,2020
3613,20995,3322767,12,2020
3614,21148,3322933,12,2020
3615,20997,3322769,12,2020
3617,20998,3322770,12,2020
3619,20999,3322771,12,2020
3623,21000,3322772,12,2020
3624,21390,3487456,12,2020
3626,21002,3322774,12,2020
3627,21003,3322775,12,2020
3629,21004,3322776,12,2020
3634,21005,3322777,12,2020
3637,21006,3322778,12,2020
3645,21007,3322779,12,2020
3660,21008,3322780,12,2020
3661,21009,3322781,12,2020
3664,21010,3322782,12,2020
3666,21011,3322783,12,2020
3668,21012,3322784,12,2020
3673,21013,3322785,12,2020
3688,21014,3322786,12,2020
3690,21015,3322787,12,2020
3695,21016,3322788,12,2020
3696,21017,3322789,12,2020
3700,21018,3322790,12,2020
3709,21019,3322791,12,2020
3711,21020,3322792,12,2020
3714,21021,3322793,12,2020
3715,21022,3322794,12,2020
3723,21023,3322795,12,2020
3731,21024,3322796,12,2020
3732,21025,3322797,12,2020
3736,21026,3322798,12,2020
3741,21028,3322799,12,2020
3748,21029,3322800,12,2020
3755,21030,3322801,12,2020
3762,21031,3322802,12,2020
3769,21032,3322803,12,2020
3770,21033,3322804,12,2020
3776,21034,3322805,12,2020
3777,21035,3322820,12,2020
3779,21036,3322821,12,2020
3794,21037,3322822,12,2020
3798,21038,3322823,12,2020
3803,21039,3322824,12,2020
3805,21040,3322825,12,2020
3819,21042,3322827,12,2020
3830,21043,3322828,12,2020
3833,21044,3322829,12,2020
3862,21045,3322830,12,2020
3864,21324,3323111,12,2020
3867,21047,3322832,12,2020
3870,21048,3322833,12,2020
3871,21049,3322834,12,2020
3882,21050,3322835,12,2020
3886,21051,3322836,12,2020
3894,21052,3322837,12,2020
3895,21053,3322838,12,2020
3904,21054,3322839,12,2020
3912,21055,3322840,12,2020
3914,21056,3322841,12,2020
3919,21057,3322842,12,2020
3928,21058,3322843,12,2020
3940,21059,3322844,12,2020
3941,21060,3322845,12,2020
3944,21061,3322846,12,2020
3951,21062,3322847,12,2020
3952,21063,3322848,12,2020
3953,21064,3322849,12,2020
3968,21065,3322850,12,2020
3982,21066,3322851,12,2020
3983,21067,3322852,12,2020
3989,21068,3322853,12,2020
3994,21069,3322854,12,2020
3997,21070,3322855,12,2020
4001,21071,3322856,12,2020
4002,21072,3322857,12,2020
4012,21073,3322858,12,2020
4016,21074,3322859,12,2020
4018,21075,3322860,12,2020
4019,21076,3322861,12,2020
4022,21077,3322862,12,2020
4040,21078,3322863,12,2020
4041,21079,3322864,12,2020
4042,21080,3322865,12,2020
4049,21081,3322866,12,2020
4054,21082,3322867,12,2020
4058,21083,3322868,12,2020
4063,21084,3322869,12,2020
4071,21085,3322870,12,2020
4074,21086,3322871,12,2020
4082,21087,3322872,12,2020
4089,21088,3322873,12,2020
4097,21089,3322874,12,2020
4101,21243,3323028,12,2020
4102,21090,3322875,12,2020
4103,21091,3322876,12,2020
4105,21092,3322877,12,2020
4110,21094,3322879,12,2020
4117,21095,3322880,12,2020
4121,21096,3322881,12,2020
4127,21097,3322882,12,2020
4129,21098,3322883,12,2020
4130,21099,3322884,12,2020
4131,21100,3322885,12,2020
4152,21102,3322887,12,2020
4157,21103,3322888,12,2020
4158,21104,3322889,12,2020
4161,21105,3322890,12,2020
4162,21106,3322891,12,2020
4169,21107,3322892,12,2020
4176,21120,3322905,12,2020
4187,21109,3322894,12,2020
4189,21110,3322895,12,2020
4190,21111,3322896,12,2020
4196,21371,3378037,12,2020
4198,21112,3322897,12,2020
4199,21237,3323022,12,2020
4201,21113,3322898,12,2020
4204,21114,3322899,12,2020
4210,21115,3322900,12,2020
4216,21342,3323129,12,2020
4217,21117,3322902,12,2020
4219,21118,3322903,12,2020
4224,21119,3322904,12,2020
4235,21121,3322906,12,2020
4239,21122,3322907,12,2020
4246,21123,3322908,12,2020
4247,21124,3322909,12,2020
4248,21125,3322910,12,2020
4256,21126,3322911,12,2020
4258,21127,3322912,12,2020
4264,21128,3322913,12,2020
4283,21130,3322915,12,2020
4284,21131,3322916,12,2020
4285,21132,3322917,12,2020
4287,21133,3322918,12,2020
4290,21134,3322919,12,2020
4302,21135,3322920,12,2020
4303,21136,3322921,12,2020
4304,21137,3322922,12,2020
4312,21138,3322923,12,2020
4313,21139,3322924,12,2020
4315,21140,3322925,12,2020
4316,21141,3322926,12,2020
4326,21142,3322927,12,2020
4328,21143,3322928,12,2020
4332,21144,3322929,12,2020
4337,21145,3322930,12,2020
4340,21146,3322931,12,2020
4356,21149,3322934,12,2020
4358,21150,3322935,12,2020
4362,21151,3322936,12,2020
4367,21152,3322937,12,2020
4373,21154,3322939,12,2020
4374,21155,3322940,12,2020
4376,21156,3322941,12,2020
4379,21157,3322942,12,2020
4388,21335,3323122,12,2020
4389,21159,3322944,12,2020
4391,21160,3322945,12,2020
4398,21161,3322946,12,2020
4399,21162,3322947,12,2020
4402,21163,3322948,12,2020
4404,21164,3322949,12,2020
4405,21165,3322950,12,2020
4406,21166,3322951,12,2020
4411,21167,3322952,12,2020
4412,21168,3322953,12,2020
4413,21291,3323078,12,2020
4418,21170,3322955,12,2020
4420,21171,3322956,12,2020
4430,21172,3322957,12,2020
4432,21173,3322958,12,2020
4433,21174,3322959,12,2020
4437,21175,3322960,12,2020
4438,21176,3322961,12,2020
4441,21177,3322962,12,2020
4444,21178,3322963,12,2020
4447,21179,3322964,12,2020
4448,21180,3322965,12,2020
4450,21181,3322966,12,2020
4457,21182,3322967,12,2020
4467,21183,3322968,12,2020
4476,21184,3322969,12,2020
4478,21185,3322970,12,2020
4481,21186,3322971,12,2020
4485,21187,3322972,12,2020
4494,21188,3322973,12,2020
4502,21191,3322976,12,2020
4503,20872,3322646,12,2020
4506,21193,3322978,12,2020
4508,21194,3322979,12,2020
4512,21195,3322980,12,2020
4513,21196,3322981,12,2020
4515,21197,3322982,12,2020
4518,21198,3322983,12,2020
4520,21199,3322984,12,2020
4521,21200,3322985,12,2020
4529,21378,3434275,12,2020
4537,21201,3322986,12,2020
4547,21202,3322987,12,2020
4550,21203,3322988,12,2020
4553,21204,3322989,12,2020
4556,21205,3322990,12,2020
4561,21206,3322991,12,2020
4563,21207,3322992,12,2020
4566,21208,3322993,12,2020
4572,21209,3322994,12,2020
4573,21210,3322995,12,2020
4575,21211,3322996,12,2020
4586,21212,3322997,12,2020
4587,21213,3322998,12,2020
4595,21214,3322999,12,2020
4606,21215,3323000,12,2020
4613,21216,3323001,12,2020
4617,21217,3323002,12,2020
4619,21218,3323003,12,2020
4622,21220,3323005,12,2020
4628,21343,3373438,12,2020
4632,21221,3323006,12,2020
4633,21222,3323007,12,2020
4640,21219,3323004,12,2020
4644,21223,3323008,12,2020
4646,21224,3323009,12,2020
4647,21225,3323010,12,2020
4650,21226,3323011,12,2020
4651,21227,3323012,12,2020
4653,21228,3323013,12,2020
4654,21229,3323014,12,2020
4660,21230,3323015,12,2020
4662,21231,3323016,12,2020
4663,21232,3323017,12,2020
4665,21233,3323018,12,2020
4668,21234,3323019,12,2020
4669,21235,3323020,12,2020
4676,21238,3323023,12,2020
4679,21389,3483123,12,2020
4680,21239,3323024,12,2020
4681,21240,3323025,12,2020
4685,21241,3323026,12,2020
4690,21242,3323027,12,2020
4702,21244,3323029,12,2020
4705,21245,3323030,12,2020
4706,21246,3323031,12,2020
4709,21247,3323032,12,2020
4712,21248,3323033,12,2020
4713,21249,3323034,12,2020
4719,21250,3323035,12,2020
4723,21251,3323036,12,2020
4747,21252,3323037,12,2020
4755,21253,3323038,12,2020
4773,21254,3323039,12,2020
4778,21256,3323041,12,2020
4780,21257,3323042,12,2020
4784,21236,3323021,12,2020
4792,21259,3323044,12,2020
4797,21260,3323045,12,2020
4806,21284,3323069,12,2020
4808,21262,3323047,12,2020
4812,21263,3323048,12,2020
4815,21264,3323049,12,2020
4817,21265,3323050,12,2020
4819,21266,3323051,12,2020
4824,21267,3323052,12,2020
4825,21268,3323053,12,2020
4838,21270,3323055,12,2020
4839,21380,3434277,12,2020
4840,21271,3323056,12,2020
4846,21272,3323057,12,2020
4847,21273,3323058,12,2020
4849,21274,3323059,12,2020
4852,21275,3323060,12,2020
4853,21276,3323061,12,2020
4855,21277,3323062,12,2020
4870,21278,3323063,12,2020
4871,21279,3323064,12,2020
4874,21280,3323065,12,2020
4879,21281,3323066,12,2020
4883,21282,3323067,12,2020
4886,21283,3323068,12,2020
4900,21285,3323070,12,2020
4902,21286,3323071,12,2020
4906,21287,3323072,12,2020
4916,21288,3323073,12,2020
4917,21289,3323075,12,2020
4919,21290,3323077,12,2020
4923,21292,3323079,12,2020
4929,21293,3323080,12,2020
4937,21295,3323082,12,2020
4945,21296,3323083,12,2020
4951,21297,3323084,12,2020
4952,21298,3323085,12,2020
4953,21299,3323086,12,2020
4954,21300,3323087,12,2020
4955,21301,3323088,12,2020
4963,21302,3323089,12,2020
4964,21303,3323090,12,2020
4984,21304,3323091,12,2020
4985,21305,3323092,12,2020
4989,21306,3323093,12,2020
4991,21307,3323094,12,2020
4994,21308,3323095,12,2020
4995,21309,3323096,12,2020
4996,21310,3323097,12,2020
4999,21311,3323098,12,2020
5001,21313,3323100,12,2020
5008,21314,3323101,12,2020
5014,21315,3323102,12,2020
5016,21316,3323103,12,2020
5021,21317,3323104,12,2020
5025,21319,3323106,12,2020
5027,21320,3323107,12,2020
5028,21321,3323108,12,2020
5030,21322,3323109,12,2020
5031,21323,3323110,12,2020
5033,21325,3323112,12,2020
5036,21326,3323113,12,2020
5039,21327,3323114,12,2020
5043,21328,3323115,12,2020
5046,21329,3323116,12,2020
5052,21330,3323117,12,2020
5065,21331,3323118,12,2020
5066,21332,3323119,12,2020
5067,21333,3323120,12,2020
5071,21334,3323121,12,2020
5076,21336,3323123,12,2020
5088,21337,3323124,12,2020
5091,21338,3323125,12,2020
5093,21339,3323126,12,2020
5099,21340,3323127,12,2020
5107,21341,3323128,12,2020